Text,Model,Actual,Predicted,Confidence,Error Type
"by

Ivanpah Solar Plant. Photo: Kollibri terre Sonnenblume.

The deserts of the American Southwest h",ROBERTA,human,ai,0.542,False Negative
"by

Ivanpah Solar Plant. Photo: Kollibri terre Sonnenblume.

The deserts of the American Southwest h",DEBERTA,human,ai,0.5,False Negative
"by

Ivanpah Solar Plant. Photo: Kollibri terre Sonnenblume.

The deserts of the American Southwest h",ELECTRA,human,ai,0.535,False Negative
"I like maxims that dont encourage behavior modification.

Reality continues to ruin my life.

Weeke",ROBERTA,human,ai,0.54,False Negative
"I like maxims that dont encourage behavior modification.

Reality continues to ruin my life.

Weeke",ELECTRA,human,ai,0.54,False Negative
Most life-long drug addiction begins during adolescence. Important structural and functional changes,ROBERTA,human,ai,0.544,False Negative
Most life-long drug addiction begins during adolescence. Important structural and functional changes,ELECTRA,human,ai,0.541,False Negative
"Pin 515 658 Shares

Trying to sort out GoPro editing software? You're in the right place! While GoPr",ROBERTA,human,ai,0.545,False Negative
"Pin 515 658 Shares

Trying to sort out GoPro editing software? You're in the right place! While GoPr",DEBERTA,human,ai,0.501,False Negative
"Pin 515 658 Shares

Trying to sort out GoPro editing software? You're in the right place! While GoPr",ELECTRA,human,ai,0.551,False Negative
"Introduction by Neal Gorenflo, Publisher of Shareable

One of the legacies of socialist Red Vienna",ROBERTA,human,ai,0.542,False Negative
"Introduction by Neal Gorenflo, Publisher of Shareable

One of the legacies of socialist Red Vienna",ELECTRA,human,ai,0.542,False Negative
"Right, Tatum, Julez, and I had an interesting little convo last night involving Harry Potter ... it'",ROBERTA,human,ai,0.541,False Negative
"Right, Tatum, Julez, and I had an interesting little convo last night involving Harry Potter ... it'",DEBERTA,human,ai,0.501,False Negative
"Right, Tatum, Julez, and I had an interesting little convo last night involving Harry Potter ... it'",ELECTRA,human,ai,0.531,False Negative
"Editor's note: This story was updated on November 22, 2016.

In 2011, the Arab Spring changed the re",ROBERTA,human,ai,0.54,False Negative
"Editor's note: This story was updated on November 22, 2016.

In 2011, the Arab Spring changed the re",ELECTRA,human,ai,0.535,False Negative
The Toledo Auto-Lite strike was a strike by a federal labor union of the American Federation of Labo,ROBERTA,human,ai,0.543,False Negative
The Toledo Auto-Lite strike was a strike by a federal labor union of the American Federation of Labo,ELECTRA,human,ai,0.543,False Negative
"Alpinism is the art of freedom, wrote Voytek Kurtyka, the great Polish alpinist who redefined the ",ROBERTA,human,ai,0.541,False Negative
"Alpinism is the art of freedom, wrote Voytek Kurtyka, the great Polish alpinist who redefined the ",ELECTRA,human,ai,0.538,False Negative
"What a week for prospects! Dansby Swanson was promoted by Atlanta, Yulieski Gurriel was promoted by ",ROBERTA,human,ai,0.543,False Negative
"What a week for prospects! Dansby Swanson was promoted by Atlanta, Yulieski Gurriel was promoted by ",DEBERTA,human,ai,0.501,False Negative
"What a week for prospects! Dansby Swanson was promoted by Atlanta, Yulieski Gurriel was promoted by ",ELECTRA,human,ai,0.544,False Negative
A/RES/43/58 71st plenary meeting 6 December 1988 Report of the Special Committee to Investigate Isra,ROBERTA,human,ai,0.539,False Negative
A/RES/43/58 71st plenary meeting 6 December 1988 Report of the Special Committee to Investigate Isra,DEBERTA,human,ai,0.501,False Negative
A/RES/43/58 71st plenary meeting 6 December 1988 Report of the Special Committee to Investigate Isra,ELECTRA,human,ai,0.527,False Negative
"This ones important, so read it and grok. You either know it already, great, or its news and you m",ROBERTA,human,ai,0.541,False Negative
"This ones important, so read it and grok. You either know it already, great, or its news and you m",ELECTRA,human,ai,0.54,False Negative
He is also forthright on worldly matters that he deems important. He dedicated the Fourth Symphony l,ROBERTA,human,ai,0.541,False Negative
He is also forthright on worldly matters that he deems important. He dedicated the Fourth Symphony l,ELECTRA,human,ai,0.532,False Negative
"Pushing Swift to the Server

Chris Bailey at Swift Summit San Francisco, 2016

Transcript

Chris : O",ROBERTA,human,ai,0.542,False Negative
"Pushing Swift to the Server

Chris Bailey at Swift Summit San Francisco, 2016

Transcript

Chris : O",DEBERTA,human,ai,0.501,False Negative
"Pushing Swift to the Server

Chris Bailey at Swift Summit San Francisco, 2016

Transcript

Chris : O",ELECTRA,human,ai,0.538,False Negative
"lachesis

Offline

Activity: 210

Merit: 100

Full MemberActivity: 210Merit: 100 Re: Flood attack 0.",ROBERTA,human,ai,0.546,False Negative
"lachesis

Offline

Activity: 210

Merit: 100

Full MemberActivity: 210Merit: 100 Re: Flood attack 0.",DEBERTA,human,ai,0.502,False Negative
"lachesis

Offline

Activity: 210

Merit: 100

Full MemberActivity: 210Merit: 100 Re: Flood attack 0.",ELECTRA,human,ai,0.543,False Negative
"Walter Andrew Brennan (July 25, 1894  September 21, 1974) was an American actor.[1] He won the Acad",ROBERTA,human,ai,0.545,False Negative
"Walter Andrew Brennan (July 25, 1894  September 21, 1974) was an American actor.[1] He won the Acad",ELECTRA,human,ai,0.539,False Negative
"The late-career arc of Steve Bannon, Washington insider, was by any measure a supreme anticlimax. Ba",ROBERTA,human,ai,0.54,False Negative
"The late-career arc of Steve Bannon, Washington insider, was by any measure a supreme anticlimax. Ba",ELECTRA,human,ai,0.545,False Negative
"During World War I and World War II, the Swiss Confederation maintained armed neutrality. Consequent",ROBERTA,human,ai,0.545,False Negative
"During World War I and World War II, the Swiss Confederation maintained armed neutrality. Consequent",ELECTRA,human,ai,0.54,False Negative
Dozens of new students crowded into a lobby of the University of Delaware's student center at the st,ROBERTA,human,ai,0.542,False Negative
Dozens of new students crowded into a lobby of the University of Delaware's student center at the st,ELECTRA,human,ai,0.528,False Negative
Its the most explosive question of the 2016 presidential campaign: Could Hillary Clinton get indict,ROBERTA,human,ai,0.543,False Negative
Its the most explosive question of the 2016 presidential campaign: Could Hillary Clinton get indict,DEBERTA,human,ai,0.5,False Negative
Its the most explosive question of the 2016 presidential campaign: Could Hillary Clinton get indict,ELECTRA,human,ai,0.53,False Negative
Disgruntled Defense of the Ancients 2 players even made an incarnation of their frustration with the,ROBERTA,human,ai,0.536,False Negative
Disgruntled Defense of the Ancients 2 players even made an incarnation of their frustration with the,DEBERTA,human,ai,0.5,False Negative
Disgruntled Defense of the Ancients 2 players even made an incarnation of their frustration with the,ELECTRA,human,ai,0.533,False Negative
There has been no spectacle in the history of televised sport as compelling and atrocious as the nig,ROBERTA,human,ai,0.542,False Negative
There has been no spectacle in the history of televised sport as compelling and atrocious as the nig,ELECTRA,human,ai,0.535,False Negative
"Blood On the Tracks

Photography by Marley Kate | Styling by Grant Woolhead

In a pop world dominate",ROBERTA,human,ai,0.544,False Negative
"Blood On the Tracks

Photography by Marley Kate | Styling by Grant Woolhead

In a pop world dominate",ELECTRA,human,ai,0.535,False Negative
"British business magnate, media personality, and political advisor

Alan Michael Sugar, Baron Sugar ",ROBERTA,human,ai,0.543,False Negative
"British business magnate, media personality, and political advisor

Alan Michael Sugar, Baron Sugar ",ELECTRA,human,ai,0.537,False Negative
"Throughout Europe and North America, a considerable portion of the contemporary radical scene takes ",ROBERTA,human,ai,0.541,False Negative
"Throughout Europe and North America, a considerable portion of the contemporary radical scene takes ",ELECTRA,human,ai,0.542,False Negative
"May 18, 2017

Paul Le Blanc , the author of numerous books, including Lenin and the Revolutionary Pa",ROBERTA,human,ai,0.545,False Negative
"May 18, 2017

Paul Le Blanc , the author of numerous books, including Lenin and the Revolutionary Pa",DEBERTA,human,ai,0.501,False Negative
"May 18, 2017

Paul Le Blanc , the author of numerous books, including Lenin and the Revolutionary Pa",ELECTRA,human,ai,0.542,False Negative
"For another ship of the same name, see ARA General Belgrano (1896)

ARA General Belgrano was an Arge",ROBERTA,human,ai,0.548,False Negative
"For another ship of the same name, see ARA General Belgrano (1896)

ARA General Belgrano was an Arge",ELECTRA,human,ai,0.537,False Negative
"(PDFs of World Policy Journal articles can be purchased through SAGE. Subscribe to WPJ here)

From t",ROBERTA,human,ai,0.544,False Negative
"(PDFs of World Policy Journal articles can be purchased through SAGE. Subscribe to WPJ here)

From t",ELECTRA,human,ai,0.532,False Negative
"Washington, DC, January 24, 2014  A recently declassified transcript of a telephone conversation (t",ROBERTA,human,ai,0.545,False Negative
"Washington, DC, January 24, 2014  A recently declassified transcript of a telephone conversation (t",ELECTRA,human,ai,0.543,False Negative
"She is 74 years old, and she is ripped.

Sculpted deltoids, carved biceps and a stomach chiseled int",ROBERTA,human,ai,0.54,False Negative
"She is 74 years old, and she is ripped.

Sculpted deltoids, carved biceps and a stomach chiseled int",ELECTRA,human,ai,0.531,False Negative
The following is a little more than I normally write I have been working on this for a few months n,ROBERTA,human,ai,0.543,False Negative
The following is a little more than I normally write I have been working on this for a few months n,DEBERTA,human,ai,0.501,False Negative
The following is a little more than I normally write I have been working on this for a few months n,ELECTRA,human,ai,0.546,False Negative
"A degree of mystery attends the buildup to my meeting with Abel Tesfaye, the 26-year-old Ethiopian-C",ROBERTA,human,ai,0.544,False Negative
"A degree of mystery attends the buildup to my meeting with Abel Tesfaye, the 26-year-old Ethiopian-C",ELECTRA,human,ai,0.532,False Negative
Stardust was a 390 kilogram robotic space probe launched by NASA on 7 February 1999. Its primary mis,ROBERTA,human,ai,0.545,False Negative
Stardust was a 390 kilogram robotic space probe launched by NASA on 7 February 1999. Its primary mis,ELECTRA,human,ai,0.541,False Negative
"On-Field Economics

During the hot stove season, there is a lot of discussion about which teams are ",ROBERTA,human,ai,0.54,False Negative
"On-Field Economics

During the hot stove season, there is a lot of discussion about which teams are ",DEBERTA,human,ai,0.501,False Negative
"On-Field Economics

During the hot stove season, there is a lot of discussion about which teams are ",ELECTRA,human,ai,0.537,False Negative
"November 10, 2009

IN YOUR new book, you allude to right-wing think tanks like the Heritage Foundati",ROBERTA,human,ai,0.542,False Negative
"November 10, 2009

IN YOUR new book, you allude to right-wing think tanks like the Heritage Foundati",DEBERTA,human,ai,0.5,False Negative
"November 10, 2009

IN YOUR new book, you allude to right-wing think tanks like the Heritage Foundati",ELECTRA,human,ai,0.538,False Negative
"The 20th Annual Epcot International Food & Wine Festival is going on now from Sept. 25-Nov. 16, 2015",ROBERTA,human,ai,0.545,False Negative
"The 20th Annual Epcot International Food & Wine Festival is going on now from Sept. 25-Nov. 16, 2015",DEBERTA,human,ai,0.5,False Negative
"The 20th Annual Epcot International Food & Wine Festival is going on now from Sept. 25-Nov. 16, 2015",ELECTRA,human,ai,0.532,False Negative
"1. The Many Forms of Friendship

Utility friendships: This a relationship between two or more indivi",ROBERTA,human,ai,0.54,False Negative
"1. The Many Forms of Friendship

Utility friendships: This a relationship between two or more indivi",DEBERTA,human,ai,0.501,False Negative
"1. The Many Forms of Friendship

Utility friendships: This a relationship between two or more indivi",ELECTRA,human,ai,0.546,False Negative
"Local on the 8s Also known as Local Forecast (19821996, 19982002) Created by The Weather Channel B",ROBERTA,human,ai,0.538,False Negative
"Local on the 8s Also known as Local Forecast (19821996, 19982002) Created by The Weather Channel B",ELECTRA,human,ai,0.537,False Negative
"Attempt to locate the e-mail sent to you when you first registered, check your username and password",ROBERTA,human,ai,0.54,False Negative
"Attempt to locate the e-mail sent to you when you first registered, check your username and password",ELECTRA,human,ai,0.536,False Negative
"Mapuche or Mapudungun[6] (from mapu 'land' and dungun 'speak, speech') is a language isolate spoken ",ROBERTA,human,ai,0.542,False Negative
"Mapuche or Mapudungun[6] (from mapu 'land' and dungun 'speak, speech') is a language isolate spoken ",ELECTRA,human,ai,0.529,False Negative
"On a sweltering afternoon, an unmarked white jetliner taxies to a remote terminal at the internation",ROBERTA,human,ai,0.541,False Negative
"On a sweltering afternoon, an unmarked white jetliner taxies to a remote terminal at the internation",DEBERTA,human,ai,0.5,False Negative
"On a sweltering afternoon, an unmarked white jetliner taxies to a remote terminal at the internation",ELECTRA,human,ai,0.53,False Negative
"The UK road tax system, or Vehicle Excise Duty (VED) frequently changes. Given road tax generates ar",ROBERTA,human,ai,0.541,False Negative
"The UK road tax system, or Vehicle Excise Duty (VED) frequently changes. Given road tax generates ar",ELECTRA,human,ai,0.537,False Negative
"We want to emphasise the lesson often repeated by history, that it is easy to kill individuals but ",ROBERTA,human,ai,0.543,False Negative
"We want to emphasise the lesson often repeated by history, that it is easy to kill individuals but ",ELECTRA,human,ai,0.535,False Negative
Its strange to see the media turn its attention to places like my hometown in coal-country Pennsylv,ROBERTA,human,ai,0.54,False Negative
Its strange to see the media turn its attention to places like my hometown in coal-country Pennsylv,ELECTRA,human,ai,0.549,False Negative
It seemed like one of those mad questions that only arises after a few many drinks or one too many c,ROBERTA,human,ai,0.542,False Negative
It seemed like one of those mad questions that only arises after a few many drinks or one too many c,DEBERTA,human,ai,0.5,False Negative
It seemed like one of those mad questions that only arises after a few many drinks or one too many c,ELECTRA,human,ai,0.527,False Negative
"Nine Minutes

Summary: During the final fight with Crocodile, Luffy makes a mistake and ends up dead",ROBERTA,human,ai,0.541,False Negative
"Nine Minutes

Summary: During the final fight with Crocodile, Luffy makes a mistake and ends up dead",DEBERTA,human,ai,0.502,False Negative
"Nine Minutes

Summary: During the final fight with Crocodile, Luffy makes a mistake and ends up dead",ELECTRA,human,ai,0.544,False Negative
President Barack Obamas late April visits to Asian countries were assessed in Korean papers as an a,ROBERTA,human,ai,0.545,False Negative
President Barack Obamas late April visits to Asian countries were assessed in Korean papers as an a,DEBERTA,human,ai,0.5,False Negative
President Barack Obamas late April visits to Asian countries were assessed in Korean papers as an a,ELECTRA,human,ai,0.534,False Negative
Whos your daddy? Its a fair question. A meta-study published in 2006 by a University of Oklahoma a,ROBERTA,human,ai,0.547,False Negative
Whos your daddy? Its a fair question. A meta-study published in 2006 by a University of Oklahoma a,ELECTRA,human,ai,0.543,False Negative
"The Bourne Legacy is a 2012 American action thriller film directed by Tony Gilroy, and is the fourth",ROBERTA,human,ai,0.541,False Negative
"The Bourne Legacy is a 2012 American action thriller film directed by Tony Gilroy, and is the fourth",ELECTRA,human,ai,0.541,False Negative
1) The model is not described very well. It is difficult to understand how the simulation model work,ROBERTA,human,ai,0.538,False Negative
1) The model is not described very well. It is difficult to understand how the simulation model work,DEBERTA,human,ai,0.501,False Negative
1) The model is not described very well. It is difficult to understand how the simulation model work,ELECTRA,human,ai,0.541,False Negative
An in-depth Spinoff investigation reveals exactly who invented What Now gunge and unravels the myste,ROBERTA,human,ai,0.544,False Negative
An in-depth Spinoff investigation reveals exactly who invented What Now gunge and unravels the myste,ELECTRA,human,ai,0.538,False Negative
"No statistical methods were used to predetermine sample size.

Sample acquisition

Metagenomic sampl",ROBERTA,human,ai,0.543,False Negative
"No statistical methods were used to predetermine sample size.

Sample acquisition

Metagenomic sampl",ELECTRA,human,ai,0.527,False Negative
Being an entrepreneur comes with benefits  a big one being job satisfaction. This makes sense as bu,ROBERTA,human,ai,0.54,False Negative
Being an entrepreneur comes with benefits  a big one being job satisfaction. This makes sense as bu,DEBERTA,human,ai,0.5,False Negative
Being an entrepreneur comes with benefits  a big one being job satisfaction. This makes sense as bu,ELECTRA,human,ai,0.541,False Negative
"Tech / Help

The Dodge Spirit R/T: 224 Horsepower Four-Cylinder Sedan

In 1989, the Dodge Spirit was",ROBERTA,human,ai,0.544,False Negative
"Tech / Help

The Dodge Spirit R/T: 224 Horsepower Four-Cylinder Sedan

In 1989, the Dodge Spirit was",DEBERTA,human,ai,0.501,False Negative
"Tech / Help

The Dodge Spirit R/T: 224 Horsepower Four-Cylinder Sedan

In 1989, the Dodge Spirit was",ELECTRA,human,ai,0.527,False Negative
Christmas trees are burned in a fire pit at Seattle's Golden Gardens beach park in what has become a,ROBERTA,human,ai,0.543,False Negative
Christmas trees are burned in a fire pit at Seattle's Golden Gardens beach park in what has become a,ELECTRA,human,ai,0.544,False Negative
"This is a rush transcript. Copy may not be in its final form.

AMY GOODMAN: As we continue our cover",ROBERTA,human,ai,0.546,False Negative
"This is a rush transcript. Copy may not be in its final form.

AMY GOODMAN: As we continue our cover",ELECTRA,human,ai,0.534,False Negative
"HOUSTON -- Chris Myers leans over his baby Keane, cradled in his wife's arm in Room 18 of Memorial H",ROBERTA,human,ai,0.538,False Negative
"HOUSTON -- Chris Myers leans over his baby Keane, cradled in his wife's arm in Room 18 of Memorial H",DEBERTA,human,ai,0.501,False Negative
"HOUSTON -- Chris Myers leans over his baby Keane, cradled in his wife's arm in Room 18 of Memorial H",ELECTRA,human,ai,0.536,False Negative
My dear Lydia Lova  You will not remember me but I remember you so well. We were at Ravensbrück to,ROBERTA,human,ai,0.547,False Negative
My dear Lydia Lova  You will not remember me but I remember you so well. We were at Ravensbrück to,DEBERTA,human,ai,0.5,False Negative
My dear Lydia Lova  You will not remember me but I remember you so well. We were at Ravensbrück to,ELECTRA,human,ai,0.533,False Negative
"Blackmoon. Monthly Digest. December, 2017

Blackmoon Blocked Unblock Follow Following Dec 13, 2017

",ROBERTA,human,ai,0.543,False Negative
"Blackmoon. Monthly Digest. December, 2017

Blackmoon Blocked Unblock Follow Following Dec 13, 2017

",DEBERTA,human,ai,0.501,False Negative
"Blackmoon. Monthly Digest. December, 2017

Blackmoon Blocked Unblock Follow Following Dec 13, 2017

",ELECTRA,human,ai,0.537,False Negative
"Parking at Bedrock.LA is an exercise in inefficiency. Rather than conform to normalcy, the designers",ROBERTA,human,ai,0.544,False Negative
"Parking at Bedrock.LA is an exercise in inefficiency. Rather than conform to normalcy, the designers",DEBERTA,human,ai,0.5,False Negative
"Parking at Bedrock.LA is an exercise in inefficiency. Rather than conform to normalcy, the designers",ELECTRA,human,ai,0.538,False Negative
"Ahoy, squirts! Quint here with a little chat I did with Ms. Thelma Schoonmaker. While she's most fam",ROBERTA,human,ai,0.545,False Negative
"Ahoy, squirts! Quint here with a little chat I did with Ms. Thelma Schoonmaker. While she's most fam",ELECTRA,human,ai,0.537,False Negative
"Relentlessly resourceful.

This is the essential quality of a good startup founder according to Paul",ROBERTA,human,ai,0.542,False Negative
"Relentlessly resourceful.

This is the essential quality of a good startup founder according to Paul",DEBERTA,human,ai,0.501,False Negative
"Relentlessly resourceful.

This is the essential quality of a good startup founder according to Paul",ELECTRA,human,ai,0.541,False Negative
Today marks the publication of the 50th review in my ImmerseOrDie indie book review series. For thos,ROBERTA,human,ai,0.541,False Negative
Today marks the publication of the 50th review in my ImmerseOrDie indie book review series. For thos,ELECTRA,human,ai,0.542,False Negative
"by Genevieve Valentine

Author spotlight

So hook yourself up to an airship

Strap on your mask and ",ROBERTA,human,ai,0.541,False Negative
"by Genevieve Valentine

Author spotlight

So hook yourself up to an airship

Strap on your mask and ",ELECTRA,human,ai,0.538,False Negative
"Content warning: This post contains discussion and accounts of trafficking, debt bondage, and exploi",ROBERTA,human,ai,0.54,False Negative
"Content warning: This post contains discussion and accounts of trafficking, debt bondage, and exploi",DEBERTA,human,ai,0.5,False Negative
"Content warning: This post contains discussion and accounts of trafficking, debt bondage, and exploi",ELECTRA,human,ai,0.541,False Negative
"Tatsuo Kimura Sensei Instructing

Sagawa Sensei entered the world of Aiki when he was 17 years old.",ROBERTA,human,ai,0.541,False Negative
"Tatsuo Kimura Sensei Instructing

Sagawa Sensei entered the world of Aiki when he was 17 years old.",DEBERTA,human,ai,0.501,False Negative
"Tatsuo Kimura Sensei Instructing

Sagawa Sensei entered the world of Aiki when he was 17 years old.",ELECTRA,human,ai,0.537,False Negative
"THANK YOU!

We are so grateful for all of your support in helping us reach our $35,000 goal! With yo",ROBERTA,human,ai,0.542,False Negative
"THANK YOU!

We are so grateful for all of your support in helping us reach our $35,000 goal! With yo",DEBERTA,human,ai,0.5,False Negative
"THANK YOU!

We are so grateful for all of your support in helping us reach our $35,000 goal! With yo",ELECTRA,human,ai,0.539,False Negative
"Nadezhda Kevorkova has worked at RT since 2010, before which she was a special correspondent for No",ROBERTA,human,ai,0.542,False Negative
"Nadezhda Kevorkova has worked at RT since 2010, before which she was a special correspondent for No",ELECTRA,human,ai,0.534,False Negative
"""We don't believe the NSA has come near our data We have a tremendous amount of thought and procedu",ROBERTA,human,ai,0.546,False Negative
"""We don't believe the NSA has come near our data We have a tremendous amount of thought and procedu",DEBERTA,human,ai,0.5,False Negative
"""We don't believe the NSA has come near our data We have a tremendous amount of thought and procedu",ELECTRA,human,ai,0.549,False Negative
"(This was originally posted on Sunday, March 11, 2007)

I recently re-read the amazing paper Why Fun",ROBERTA,human,ai,0.542,False Negative
"(This was originally posted on Sunday, March 11, 2007)

I recently re-read the amazing paper Why Fun",ELECTRA,human,ai,0.546,False Negative
During the making of Moon there was a place that I'm sure many people would have loved to visit and ,ROBERTA,human,ai,0.544,False Negative
During the making of Moon there was a place that I'm sure many people would have loved to visit and ,DEBERTA,human,ai,0.5,False Negative
During the making of Moon there was a place that I'm sure many people would have loved to visit and ,ELECTRA,human,ai,0.541,False Negative
"February 13, 2009 at 17:18 Tags Articles , Pygame tutorial

This is part IV of the ""Writing a game i",ROBERTA,human,ai,0.54,False Negative
"February 13, 2009 at 17:18 Tags Articles , Pygame tutorial

This is part IV of the ""Writing a game i",DEBERTA,human,ai,0.5,False Negative
"February 13, 2009 at 17:18 Tags Articles , Pygame tutorial

This is part IV of the ""Writing a game i",ELECTRA,human,ai,0.549,False Negative
"Chris Bosh spent the worst week of his life lying in a bed at Baptist Hospital in Miami, listening t",ROBERTA,human,ai,0.545,False Negative
"Chris Bosh spent the worst week of his life lying in a bed at Baptist Hospital in Miami, listening t",ELECTRA,human,ai,0.533,False Negative
"In 2014, we published a list of video game people to follow on Twitter. Im not sure Id give the sa",ROBERTA,human,ai,0.543,False Negative
"In 2014, we published a list of video game people to follow on Twitter. Im not sure Id give the sa",ELECTRA,human,ai,0.54,False Negative
"YouTube logo

YouTube was created by PayPal employees as a video-sharing website where users could u",ROBERTA,human,ai,0.544,False Negative
"YouTube logo

YouTube was created by PayPal employees as a video-sharing website where users could u",ELECTRA,human,ai,0.538,False Negative
[Editor's note: Promoted from the FanPost.] -- The Philadelphia Eagles are rumored to have interest ,ROBERTA,human,ai,0.547,False Negative
[Editor's note: Promoted from the FanPost.] -- The Philadelphia Eagles are rumored to have interest ,DEBERTA,human,ai,0.501,False Negative
[Editor's note: Promoted from the FanPost.] -- The Philadelphia Eagles are rumored to have interest ,ELECTRA,human,ai,0.536,False Negative
"From the instant they get drafted, things change in the life of an NHL prospect. Theres the rush of",ROBERTA,human,ai,0.545,False Negative
"From the instant they get drafted, things change in the life of an NHL prospect. Theres the rush of",DEBERTA,human,ai,0.5,False Negative
"From the instant they get drafted, things change in the life of an NHL prospect. Theres the rush of",ELECTRA,human,ai,0.538,False Negative
"Hey everyone!

Many of you may recognize me from our online interactions on social media, online dis",ROBERTA,human,ai,0.54,False Negative
"Hey everyone!

Many of you may recognize me from our online interactions on social media, online dis",ELECTRA,human,ai,0.541,False Negative
"By Kathy Blackwell | April 1, 2016 | Culture

As commerce becomes increasingly cutthroat and profita",ROBERTA,human,ai,0.542,False Negative
"By Kathy Blackwell | April 1, 2016 | Culture

As commerce becomes increasingly cutthroat and profita",ELECTRA,human,ai,0.542,False Negative
"933 SHARES Share Tweet

Scottish Government private finance schemes to build public projects are sec",ROBERTA,human,ai,0.54,False Negative
"933 SHARES Share Tweet

Scottish Government private finance schemes to build public projects are sec",DEBERTA,human,ai,0.5,False Negative
"933 SHARES Share Tweet

Scottish Government private finance schemes to build public projects are sec",ELECTRA,human,ai,0.53,False Negative
Take a trip back to a memorable timeline in sports entertainment with the most important stories rep,ROBERTA,human,ai,0.542,False Negative
Take a trip back to a memorable timeline in sports entertainment with the most important stories rep,DEBERTA,human,ai,0.5,False Negative
Take a trip back to a memorable timeline in sports entertainment with the most important stories rep,ELECTRA,human,ai,0.542,False Negative
"1.

You hope that when your book is published, it will break out.

It will reach some sort of tippin",ROBERTA,human,ai,0.544,False Negative
"1.

You hope that when your book is published, it will break out.

It will reach some sort of tippin",DEBERTA,human,ai,0.501,False Negative
"1.

You hope that when your book is published, it will break out.

It will reach some sort of tippin",ELECTRA,human,ai,0.542,False Negative
Scores of casualties in Sanaa have been caused by anti-aircraft munitions shot by the Huthi armed g,ROBERTA,human,ai,0.54,False Negative
Scores of casualties in Sanaa have been caused by anti-aircraft munitions shot by the Huthi armed g,ELECTRA,human,ai,0.54,False Negative
"A Step By Step Ladder Of Escalation

16 SHARES Share

The legendary and well-proven Dicarlo ladder o",ROBERTA,human,ai,0.546,False Negative
"A Step By Step Ladder Of Escalation

16 SHARES Share

The legendary and well-proven Dicarlo ladder o",DEBERTA,human,ai,0.501,False Negative
"A Step By Step Ladder Of Escalation

16 SHARES Share

The legendary and well-proven Dicarlo ladder o",ELECTRA,human,ai,0.54,False Negative
"Chapter 13

This was quite the predicament. Yu was alone and vulnerable. Still, there was no sense w",ROBERTA,human,ai,0.545,False Negative
"Chapter 13

This was quite the predicament. Yu was alone and vulnerable. Still, there was no sense w",DEBERTA,human,ai,0.501,False Negative
"Chapter 13

This was quite the predicament. Yu was alone and vulnerable. Still, there was no sense w",ELECTRA,human,ai,0.54,False Negative
"I may have gotten carried away here. I started with a few funny facts about presidents, and then add",ROBERTA,human,ai,0.545,False Negative
"I may have gotten carried away here. I started with a few funny facts about presidents, and then add",ELECTRA,human,ai,0.545,False Negative
"This is a rush transcript. Copy may not be in its final form.

JUAN GONZÁLEZ: The Vatican has reprim",ROBERTA,human,ai,0.544,False Negative
"This is a rush transcript. Copy may not be in its final form.

JUAN GONZÁLEZ: The Vatican has reprim",ELECTRA,human,ai,0.531,False Negative
